alpha,controllability_rank,state_dim,rank_ratio,gramian_min_eig
0.1,49.0,49.0,1.0,0.34660719795821004
0.2,49.0,49.0,1.0,0.12013655286457992
0.30000000000000004,49.0,49.0,1.0,0.041640197229985014
0.4,49.0,49.0,1.0,0.014432794306464613
0.5,49.0,49.0,1.0,0.005002511646253826
0.6,49.0,49.0,1.0,0.0017339071782018797
0.7000000000000001,49.0,49.0,1.0,0.00060098500705689
0.8,49.0,49.0,1.0,0.00020830586303720037
0.9,49.0,49.0,1.0,7.220036923899201e-05
1.0,49.0,49.0,1.0,2.50251919038276e-05
