alpha,input_bound,max_velocity_norm,mean_velocity_norm,max_reference_norm,max_desired_norm,snap_events
0.1,1.0,357.0105805372421,150.61711203264701,0.5489467274796734,2.4198561774154617,0.0
0.2,1.0,214.11076459087133,90.78753217517352,0.535392560568299,1.7842610022815357,0.0
0.30000000000000004,1.0,128.1008181257242,54.89036213351597,0.5381849465498524,1.3966837842463617,0.0
0.4,1.0,76.41837657138305,33.298593183131985,0.5575019668445136,1.1608002132569497,0.0
0.5,1.0,45.43214200248796,20.27535149368654,0.5967331381838278,1.0256975308640093,0.0
0.6,1.0,26.906510289544055,12.399055756601417,0.6643933633996757,0.9698382347403194,0.0
0.7000000000000001,1.0,15.86944195283239,7.620240713103197,0.7795261293273886,1.023727278699001,0.0
0.8,1.0,9.322259717687546,4.710684686299512,0.9862495969739361,1.2129054555957106,0.0
0.9,1.0,5.453620236910402,2.9339702647811814,1.3895560097822628,1.6898571288329913,0.0
1.0,1.0,3.2894436355687655,1.8461261564814513,2.26550167181779,2.915507458768297,0.0
