alpha,memory_length,max_velocity_norm,max_reference_norm
0.1,20.0,357.27331633668723,0.3283212293353889
0.1,40.0,356.98531743221776,0.4875974942894733
0.1,60.0,357.2123397221473,0.602709934267301
0.1,80.0,357.1768826417325,0.6932782619621283
0.1,100.0,357.26206307853744,0.7672668839512341
0.2,20.0,214.30145351436803,0.2940337867992726
0.2,40.0,214.04985364627458,0.46643938020748055
0.2,60.0,214.23060704614747,0.5971563779955463
0.2,80.0,214.22958358932132,0.7032400525142788
0.2,100.0,214.27948797811476,0.7919294726439969
0.30000000000000004,20.0,128.16930979908662,0.27156866399000196
0.30000000000000004,40.0,128.0234911829039,0.4598157635792532
0.30000000000000004,60.0,128.13594919819897,0.6096368143633868
0.30000000000000004,80.0,128.15167755337913,0.7347100484588434
0.30000000000000004,100.0,128.1720159646295,0.8413330548775712
0.4,20.0,76.39617339953624,0.259160550155032
0.4,40.0,76.34887266750344,0.4673881674580839
0.4,60.0,76.41192125208285,0.6408562327327834
0.4,80.0,76.42799148632915,0.7893984042978018
0.4,100.0,76.43354197951744,0.9180059307250955
0.5,20.0,45.36526162714147,0.2567295966774196
0.5,40.0,45.38255885557572,0.4915257545033332
0.5,60.0,45.41520797512834,0.695284334378497
0.5,80.0,45.4263054065009,0.873574621152187
0.5,100.0,45.42642198848476,1.0294505907894127
0.6,20.0,26.831424939429336,0.2664520734834957
0.6,40.0,26.87652264801728,0.5387175073502558
0.6,60.0,26.893187964041598,0.7832956226397717
0.6,80.0,26.900160601214445,1.0001402667358819
0.6,100.0,26.899656632466296,1.1895469832419951
0.7000000000000001,20.0,15.804748156927419,0.2949227065111978
0.7000000000000001,40.0,15.852854773376517,0.6243205233994003
0.7000000000000001,60.0,15.863039740680358,0.9265835695423638
0.7000000000000001,80.0,15.86769955592954,1.1927888004492706
0.7000000000000001,100.0,15.867810555750351,1.4203660129179991
0.8,20.0,9.272626660937354,0.3614553981862846
0.8,40.0,9.31346817776186,0.7874867983210995
0.8,60.0,9.32046187689661,1.1705292766610267
0.8,80.0,9.322424851231762,1.4913736302452425
0.8,100.0,9.321935205384811,1.7518055165125355
0.9,20.0,5.427656633472623,0.5454526354071554
0.9,40.0,5.4517907765234925,1.1414876470944293
0.9,60.0,5.451906883017824,1.6049707634639132
0.9,80.0,5.450013927256124,1.9547290216192874
0.9,100.0,5.4481844868054,2.222322338361652
1.0,20.0,3.2894436355687655,1.4957329771075465
1.0,40.0,3.2894436355687655,2.0603071067653183
1.0,60.0,3.2894436355687655,2.4388886462316814
1.0,80.0,3.2894436355687655,2.71734106198984
1.0,100.0,3.2894436355687655,2.931500920800016
